Plasma cells,Activated B cells,Cycling B cells,Stromal cells,Follicular B cells,Germinal center B cells,Memory B cells,Naive B cells,Transitional B cells,Large pre-B cells,Pre-pro-B cells,Pro-B cells
IGHG1,BANK1,DIAPH3,LINC00342,IGHA1,LINC02029,HLA-DRA,TCK1A,AC067945.4,IGLL1,LIX1-AS1,DNTT
IGHG4,AFF3,RRM2,ANKRD36C,GAS5,SELE,MIR1244-2,IGHM,AC006115.2,IGHE,VPREB1,AL355488.1
IGKC,ARHGAP24,ASPM,ZNF117,AC108879.1,AL136456.1,IGKC,IGKC,LINC01644,VPREB1,CALB2,OSTN-AS1
CREB3L2,RIPOR2,BUB1,DNAH11,AL512306.2,AC022126.1,CD74,IGHD,SYCP1,CUX2,OR2A25,SOCS2-AS1
FNDC3B,MS4A1,POLQ,NAALADL2,AL731577.2,CTAG2,RACK1,AL139020.1,CTAG2,AL157895.1,,LINC01013
ERN1,MGAT5,MKI67,AHR,JCHAIN,OR2A25,,,,LINC01483,,DUSP26
IGHGP,BLK,BUB1B,SOX4,,RGS13,,,,TCL1A,,
IGHG3,TTN,GTSE1,MUC16,,KIAA0087,,,,SOX17,,
TXNDC5,ANK3,KIF18B,FGF13,,TRBV11-3,,,,,,
LINC02362,FCRL1,NCAPG,TTC6,,,,,,,,
ITGA6,EBF1,SHCBP1,DLGAP1,,,,,,,,
TENT5C,AUTS2,KNL1,SDK1,,,,,,,,
XBP1,BACH2,CENPP,DANT2,,,,,,,,
JCHAIN,ITPR1,KIF14,PNN,,,,,,,,
PRDM1,PDE7A,DTL,ABCC3,,,,,,,,
AC016074.2,JAZF1,KIF11,CASC15,,,,,,,,
PDK1,CIITA,AURKB,MACROD2,,,,,,,,
CPEB4,KHDRBS2,CDCA2,TMC5,,,,,,,,
PIM2,BCL11A,TOP2A,ARHGEF38,,,,,,,,
AL591518.1,TMEM131L,NUF2,TANC2,,,,,,,,
ACOXL,PAX5,SMC4,HULC,,,,,,,,
MERTK,PARP15,NUSAP1,PCDH7,,,,,,,,
NEAT1,KYNU,FANCI,GNA14,,,,,,,,
GLCCI1,UVRAG,CENPE,FNBP1L,,,,,,,,
BTG2,VAV3,NDC80,AL008633.1,,,,,,,,
RRBP1,AC120193.1,,LINC00511,,,,,,,,
TXNDC11,STK17A,,KCNQ1OT1,,,,,,,,
TP53INP1,,,LINC02343,,,,,,,,
CFAP54,,,RALGAPA2,,,,,,,,
ELL2,,,KIAA1217,,,,,,,,
SEL1L,,,WLS,,,,,,,,
HERPUD1,,,FARP1,,,,,,,,
GAB1,,,AC137770.1,,,,,,,,
FNDC3A,,,CLIC6,,,,,,,,
AC078883.1,,,BMP5,,,,,,,,
CEP128,,,TMEM150C,,,,,,,,
SSR4,,,MIPOL1,,,,,,,,
,,,DNAH14,,,,,,,,